alpha,beta,ETRmax,Ek,ps,fvfm,age,treatment,year,chamber
0.53729591,0,14.6842025,25.22752957,88.10521502,0.533,8,SS,2021,36
0.573610036,0.000412182,12.80105119,20.59997943,77.26235353,0.535,8,SS,2021,36
0.566417086,1.934901044,15.69977485,25.58556269,1000,0.551,8,SS,2021,36
0.612275477,2.704119695,12.49247379,18.83386595,1000,0.523,8,SS,2021,37
0.349728889,0,14.64298501,41.86953231,14.64298501,0.471,60,SS,2021,38
0.454759311,1.45E-06,5.080230183,11.17125051,5.080451139,0.426,60,SS,2021,38
0.269594356,0,7.968639382,29.55788658,7.968639382,0.448,60,SS,2021,38
0.29645066,0,17.49250333,59.00645767,17.49250333,0.45,60,SS,2021,38
0.347382483,8.668038992,14.45453448,41.60985419,1000,0.507,60,SS,2021,38
0.380130386,0.000522293,4.318329695,11.36012763,4.363603529,0.364,60,SS,2021,38
0.389563079,0,8.716733801,22.37566717,8.716733801,0.503,60,SS,2021,38
0.344714754,0,16.98199084,49.2638932,16.98199084,0.503,60,SS,2021,38
0.287631958,0,10.73135592,37.30933096,10.73135592,0.478,60,SS,2021,39
0.307010326,0,9.096998612,29.63092064,9.096998612,0.476,60,SS,2021,39
0.323672569,0.335703413,15.440903,47.70531856,63.35408676,0.482,60,SS,2021,39
0.27598611,0,12.98420421,47.0465858,12.98420421,0.418,60,SS,2021,39
0.334243048,0.027973299,15.74441343,47.10468481,21.14052957,0.45,60,SS,2021,39
0.285817974,0,15.84961519,55.45352863,15.84961519,0.502,60,SS,2021,39
0.294143447,0,14.52942869,49.39572456,14.52942869,0.424,60,SS,2021,39
0.314872185,0,13.9807072,44.40121379,13.9807072,0.51,60,SS,2021,39
0.434170092,5.633773063,27.30521131,62.89058548,1000,0.498,60,SS,2021,39
0.309051613,6.41578896,17.30574901,55.996307,1000,0.421,60,SS,2021,39
0.304788946,0,12.31826212,40.41571158,12.31826212,0.457,60,SS,2021,39
0.320816394,0,13.73407366,42.80976254,13.73407366,0.431,60,SS,2021,39
0.587427221,0.012055525,24.39364971,41.52625013,26.97229038,0.532,60,SS,2021,39
0.346015373,3.7517071,32.44393667,93.76443721,1000,0.493,60,SS,2021,39
0.400478414,7.516681999,19.09366548,47.67714019,1000,0.48,60,SS,2021,40
0.280401925,0,11.35887062,40.5092463,11.35887062,0.454,60,SS,2021,40
0.295237855,0,11.41270359,38.65596293,11.41270359,0.442,60,SS,2021,40
0.503005218,8.199792052,21.89872768,43.53578635,1000,0.506,60,SS,2021,40
0.51694464,7.001581422,26.20001253,50.68243386,1000,0.488,60,SS,2021,40
0.328277765,0,14.7993953,45.0819303,14.7993953,0.429,60,SS,2021,40
0.492979701,0.021155524,5.114154096,10.37396485,6.116253665,0.493,60,SS,2021,40
0.376882946,0,5.609180984,14.88308518,5.609180984,0.487,60,SD,2021,41
0.493201998,0.003918989,5.153409519,10.44888209,5.398146646,0.487,60,SD,2021,41
0.487772054,0.019129236,8.28310949,16.98151711,9.788481927,0.537,60,SD,2021,41
0.494119371,0.011002839,4.407514557,8.919938824,4.906419004,0.475,60,SD,2021,41
0.432221796,0.049846958,7.667861462,17.74057101,11.11036114,0.541,60,SD,2021,41
0.439226094,0.028054553,10.02734442,22.82957356,12.76735229,0.527,60,SD,2021,41
0.531473006,0.002061108,6.287264298,11.82988454,6.449125171,0.521,60,SD,2021,41
0.404810088,0.046533056,11.02436412,27.23342241,15.96010605,0.524,60,SD,2021,41
0.572249,0.037798763,14.04672797,24.54653129,17.99444597,0.577,60,SD,2021,42
0.56302839,0.054818567,17.50049601,31.08279496,24.31213554,0.593,60,SD,2021,42
0.582125436,0.060846359,16.66879083,28.63436265,23.55635289,0.58,60,SD,2021,42
0.553858714,0.066265527,16.43280523,29.6696699,24.04296367,0.572,60,SD,2021,42
0.584855854,0.031876766,23.88451289,40.83828989,29.59988814,0.583,60,SD,2021,42
0.642477986,0.004510417,22.17383419,34.51298671,23.12169542,0.582,60,SD,2021,42
0.652023223,0.015133552,23.810052,36.51718397,26.60047037,0.592,60,SD,2021,42
0.530164458,0.099983372,20.07796296,37.87119764,33.77002929,0.589,60,SD,2021,42
0.524945811,0.021312011,20.04740468,38.18947453,23.79772428,0.554,60,SD,2021,42
0.608995391,0.019927708,14.61222784,23.99398758,16.89488491,0.575,60,SD,2021,42
0.587155549,0.026356113,18.92095352,32.22477172,22.77045179,0.573,60,SD,2021,42
0.558867899,0.06260333,24.95236057,44.64804758,35.88275689,0.6,60,SD,2021,42
0.609408278,0.049788671,24.66644648,40.47606074,32.95121481,0.597,60,SD,2021,42
0.502784396,0.081880298,21.89923503,43.55591618,35.07411285,0.591,60,SD,2021,42
0.484391065,0.135898008,21.96969212,45.3552795,43.07389845,0.58,60,SD,2021,42
0.557446464,8.033710233,24.67526976,44.26482427,1000,0.577,60,SD,2021,42
0.391507976,0.097138018,14.53704659,37.13090792,27.0898686,0.525,60,SD,2021,43
0.548941879,0.053719489,19.30084302,35.1600848,26.84544519,0.584,60,SD,2021,43
0.462582767,0.265221191,15.3531385,33.19003562,43.09051814,0.566,60,SD,2021,43
0.591320325,0.030238426,23.59527888,39.90270224,28.94833637,0.582,60,SD,2021,43
0.599506637,0.070090184,23.82890537,39.74752558,34.65106495,0.59,60,SD,2021,43
0.558994868,0.034281496,17.62528989,31.53032507,22.28027048,0.58,60,SD,2021,43
0.456851541,0.074298483,22.59707886,49.4626303,36.17598446,0.544,60,SD,2021,43
0.545287297,0.091205182,22.843059,41.89178644,36.90221368,0.577,60,SD,2021,43
0.599988767,0.058727485,21.46806143,35.78077226,29.86132756,0.585,60,SD,2021,43
0.517709883,0.149709807,19.21297465,37.11146975,38.16155666,0.572,60,SD,2021,43
0.520631716,0.310728313,24.8575662,47.74500942,71.41788242,0.573,60,SD,2021,43
0.499185829,0.027202335,16.10058839,32.25369682,19.95272757,0.496,8,SS,2022,
0.445492378,0.009346245,15.55839709,34.92404775,17.23372225,0.445,8,SS,2022,
0.497676547,0,16.71533429,33.586743,16.71533429,0.472,8,SS,2022,
0.578792977,0.008847817,17.14188539,29.61660915,18.5568304,0.503,8,SS,2022,
0.415000085,0.035706915,16.16787267,38.95872132,21.83946868,0.449,8,SS,2022,
0.434188751,0,15.20324625,35.01529277,15.20324625,0.448,8,SS,2022,
0.483707127,0.046520182,16.07083059,33.22429977,22.26162652,0.473,8,SS,2022,
0.485967964,0,15.1747231,31.22576845,15.1747231,0.483,8,SS,2022,
0.431706573,0,13.21881862,30.61991514,13.21881862,0.439,8,SS,2022,
0.497620037,0,15.33770917,30.82212941,15.33770917,0.475,8,SS,2022,
0.488287589,0.024457234,14.25027373,29.18418172,17.42767622,0.466,8,SS,2022,
0.543740704,0,13.49844131,24.82514407,13.49844131,0.467,8,SS,2022,
0.434310632,11.79905156,13.29726196,30.61693861,1000,0.471,8,SS,2022,
0.434051496,0.069309075,13.60819237,31.35156196,21.65890772,0.463,8,SS,2022,
0.562113895,0.174890318,14.18159189,25.22903635,29.08939266,0.505,8,SD,2022,
0.620445827,0.030867253,14.45355404,23.29543276,17.65811158,0.5,8,SD,2022,
0.59834893,0.046436361,14.90023445,24.90224967,19.69358069,0.515,8,SD,2022,
0.599417071,10.32221112,20.76295937,34.63858532,1000,0.551,8,SD,2022,
0.508814769,12.82024094,14.31734924,28.1386275,1000,0.464,8,SD,2022,
0.582146937,0.088108955,18.08219199,31.06121638,28.30305886,0.528,8,SD,2022,
0.548667453,0.120567631,14.77988482,26.93778306,26.27291428,0.496,8,SD,2022,
0.619975154,0.065812943,17.98432702,29.00814156,25.51302193,0.5,8,SD,2022,
0.573548066,0.186357893,18.32269824,31.94622965,38.32791928,0.528,8,SD,2022,
0.540346308,10.26925302,18.86289358,34.90889694,1000,0.514,8,SD,2022,
0.549634394,11.55836222,17.08901446,31.09160313,1000,0.51,8,SD,2022,
0.583371768,0.154823881,18.81455354,32.25139539,36.0368015,0.522,8,SD,2022,
0.447111719,0.019690377,13.55727807,30.32190276,16.27187534,0.431,8,SD,2022,
0.610765651,0.035426791,16.15158789,26.4448203,20.22307344,0.511,8,SD,2022,
0.346666193,8.039022651,15.53035935,44.79917467,1000,0.521,8,SD,2022,
0.543946664,0.116612224,17.0428985,31.33192946,30.01677432,0.498,8,SD,2022,
0.665302728,0.026203368,15.35855244,23.08505858,18.15980843,0.529,8,SD,2022,
0.417318552,9.935256025,15.13555066,36.26857849,1000,0.451,8,SD,2022,
0.490483638,8.626317113,20.34161477,41.47256546,1000,0.497,60,SD,2022,
0.511777749,0.304653009,20.98880117,41.01155471,60.21086373,0.496,60,SD,2022,
0.475511273,7.030702821,24.07140809,50.62216072,1000,0.499,60,SD,2022,
0.528791524,0,22.06764842,41.73222796,22.06764842,0.481,60,SD,2022,
0.439868876,0.008975986,19.81164359,45.03988502,21.89594519,0.442,60,SD,2022,
0.5553705,7.811293397,25.26271176,45.48803325,1000,0.51,60,SD,2022,
0.508412951,0.360201009,21.21953499,41.73681051,67.63719375,0.499,60,SD,2022,
0.572926448,6.979552488,29.01486908,50.64327054,1000,0.538,60,SD,2022,
0.540210997,7.123470913,26.88506029,49.76770273,1000,0.515,60,SD,2022,
0.515181212,6.424503696,28.3700791,55.06815548,1000,0.514,60,SD,2022,
0.508592271,8.86779269,20.51338073,40.33364622,1000,0.468,60,SD,2022,
0.529761357,7.262405782,25.89625804,48.88287472,1000,0.487,60,SD,2022,
0.522290241,0.149263633,20.9972508,40.20226522,41.4941036,0.5,60,SD,2022,
0.60877267,0.10613926,26.90456306,44.19476169,44.06060286,0.532,60,SD,2022,
0.544088594,0.198070611,18.40190368,33.82152073,40.60057926,0.533,60,SD,2022,
0.578084432,0.045747375,17.40430003,30.10684784,23.09557046,0.513,60,SD,2022,
0.587809232,0.060076247,22.63652205,38.5099805,31.81463944,0.52,60,SD,2022,
0.55376191,0.135269012,18.87139638,34.07853813,34.94865422,0.533,60,SD,2022,
0.491654508,0.240527221,19.45735235,39.57525465,49.95262248,0.503,60,SD,2022,
0.493756228,0.108017334,14.71576821,29.80371159,26.11500301,0.506,60,SD,2022,
0.507186102,0.165069898,19.76643987,38.97275539,41.37941838,0.505,60,SD,2022,
0.529214728,7.695452304,24.46251629,46.22417893,1000,0.523,60,SD,2022,
0.589399957,0,17.68279083,30.00134393,17.68279083,0.458,60,SS,2022,
0.365710673,0.258932484,13.76128559,37.62888704,43.84645557,0.386,60,SS,2022,
0.177372054,0,31.53794876,177.8067517,31.53794876,0.361,60,SS,2022,
0.442619835,0.147962342,14.40014736,32.53389532,30.51872913,0.433,60,SS,2022,
0.418899641,0.066867587,17.25221356,41.1845986,27.45589526,0.439,60,SS,2022,
0.293136137,12.605295,8.456892322,28.84970923,1000,0.371,60,SS,2022,
0.371042772,0.119702593,16.10182789,43.39615029,33.57286028,0.445,60,SS,2022,
0.522202344,0.006972926,13.44068,25.73845205,14.43071725,0.469,60,SS,2022,
0.281754036,0,8.675623565,30.79147931,8.675623565,0.41,60,SS,2022,
0.286494475,0,7.08211667,24.71990662,7.08211667,0.464,60,SS,2022,
