direction,term_name,ontology,type
downregulated,response to dsRNA,BP,trinotate
downregulated,response to dsRNA,BP,trinotate
downregulated,response to organic cyclic compound,BP,trinotate
upregulated,retina formation,BP,trinotate
upregulated,retina formation,BP,trinotate
upregulated,retina formation,BP,trinotate
upregulated,retina formation,BP,trinotate
downregulated,RNA interference,BP,trinotate
downregulated,RNA interference,BP,trinotate
downregulated,RNA interference,BP,trinotate
upregulated,signaling and cellular processes,KEGG,KEGG
downregulated,sorocarp development,BP,trinotate
downregulated,sorocarp development,BP,trinotate
downregulated,sorocarp development,BP,trinotate
downregulated,sorocarp development,BP,trinotate
downregulated,sorocarp development,BP,trinotate
downregulated,sorocarp spore cell differentiation,BP,trinotate
upregulated,structural molecule activity,MF,trinotate
upregulated,sulfur binding,MF,trinotate
upregulated,synapse assembly,BP,trinotate
upregulated,synapse assembly,BP,trinotate
upregulated,synapse assembly,BP,trinotate
downregulated,T cell homeostasis,BP,trinotate
downregulated,tetrapyrrole binding,MF,uniprot
downregulated,transition metal ion binding,MF,trinotate
downregulated,transition metal ion binding,MF,uniprot
upregulated,transmembrane receptor ,MF,trinotate
upregulated,transmembrane receptor ,MF,trinotate
upregulated,transmembrane receptor ,MF,trinotate
upregulated,transmembrane receptor ,MF,trinotate
upregulated,transmembrane transporter,MF,trinotate
upregulated,transmembrane transporter,CC,trinotate
upregulated,transmembrane transporter,MF,trinotate
upregulated,transmembrane transporter activity,MF,trinotate
downregulated,ubiquitination,KEGG,KEGG
downregulated,ubiquitination,MF,trinotate
upregulated,ion channel,CC,trinotate
downregulated,Wnt,BP,trinotate
downregulated,Wnt,BP,trinotate

